"2016/05 Highlights of Daily Trading"
"Date","Trade Volume","Trade Value","Transaction","TAIEX","Change",
"2016/05/03","3,754,668,499","79,541,801,189","728,436","8,294.12","-83.78",
"2016/05/04","4,149,875,379","82,399,462,988","816,079","8,185.47","-108.65",
"2016/05/05","3,977,941,297","74,975,723,000","745,369","8,167.96","-17.51",
"2016/05/06","3,953,679,305","84,384,286,020","771,662","8,146.43","-21.53",
"2016/05/09","3,710,952,585","75,447,508,377","708,642","8,131.83","-14.60",
"2016/05/10","3,741,082,502","70,928,843,216","694,280","8,156.29","24.46",
"2016/05/11","4,047,480,787","80,431,862,471","775,750","8,135.56","-20.73",
"2016/05/12","3,556,435,361","68,548,502,596","669,426","8,108.05","-27.51",
"2016/05/13","4,225,037,084","89,924,012,838","909,771","8,053.69","-54.36",
"2016/05/16","3,236,743,232","64,686,301,497","667,038","8,067.60","13.91",
"2016/05/17","3,604,249,794","66,672,653,501","700,842","8,140.48","72.88",
"2016/05/18","3,491,764,921","65,383,955,852","701,281","8,159.68","19.20",
"2016/05/19","3,094,933,678","60,422,574,449","644,954","8,095.98","-63.70",
"2016/05/20","2,850,865,571","58,263,286,174","568,897","8,131.26","35.28",
"2016/05/23","4,649,021,224","90,554,982,570","842,513","8,344.44","213.18",
"2016/05/24","3,555,561,356","64,637,921,213","675,116","8,300.66","-43.78",
"2016/05/25","4,049,980,878","80,459,911,960","783,978","8,396.20","95.54",
"2016/05/26","3,564,495,997","65,478,914,576","674,618","8,394.12","-2.08",
"2016/05/27","3,409,655,231","68,626,136,475","675,938","8,463.61","69.49",
"2016/05/30","3,779,180,371","78,124,791,178","726,736","8,535.87","72.26",
"2016/05/31","4,925,321,959","115,600,250,014","794,488","8,535.59","-0.28",
"Remarks:"
"Statistics of today cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."

