"2015/02  Daily Trading Value/Volume of 1477 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2015/02/02","396,049","70,006,595","178.00","178.50","175.50","175.50","-2.00","350",
"2015/02/03","487,296","85,151,150","175.50","176.50","174.00","174.50","-1.00","360",
"2015/02/04","3,997,349","718,672,627","176.50","183.00","176.00","180.00","+5.50","2,653",
"2015/02/05","2,420,319","441,821,239","181.00","184.50","179.50","181.00","+1.00","1,909",
"2015/02/06","1,095,873","198,380,073","182.50","183.00","179.50","180.50","-0.50","955",
"2015/02/09","1,502,537","267,535,512","182.00","182.00","175.50","176.00","-4.50","1,089",
"2015/02/10","1,118,270","197,797,923","177.50","178.00","176.00","177.50","+1.50","941",
"2015/02/11","1,584,048","282,294,113","178.50","179.50","177.00","179.50","+2.00","1,144",
"2015/02/12","2,265,230","409,162,630","181.00","183.00","179.00","181.00","+1.50","1,784",
"2015/02/13","5,075,486","968,491,572","184.50","193.50","184.50","191.50","+10.50","3,464",
"2015/02/24","3,966,558","786,844,598","195.00","202.50","193.50","202.00","+10.50","2,859",
"2015/02/25","1,997,147","401,832,547","202.00","203.50","199.00","201.00","-1.00","1,682",
"2015/02/26","2,052,724","402,353,904","202.00","202.00","193.50","196.00","-5.00","1,623",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."

