Year,Market,Company code,Company name,Proposal Status,Dividend in respect of the year (quarter),Dividend Period,Times,Date of the Board of Directors,Date of the Shareholders' Meeting,Cash dividends distributed from retained earnings (NTD/share),Cash distributed from legal reserve (NTD/share),Cash distributed from capital surplus (NTD/share),Total amount of cash distributed to shareholders (NTD),Stock dividends distributed from retained earnings(NTD/share),Stock distributed from legal reserve (NTD/share),Stock distributed from capital surplus (NTD/share),Total amount of stock distributed to shareholders
2015,Public Company,000218,?@OSC?@,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/28,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Public Company,000532,Golden Gate?@?@,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/05/27,1.01100000,0.0,0.0,48381920,0.0,0.0,0.0,0
2015,Public Company,000538,FSI?@?@,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/05/25,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Public Company,000596,J.M.S. ?@?@,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/05/28,0.30000000,0.0,0.0,10846149,0.0,0.0,0.0,0
2015,Public Company,000616,CTBC Securities,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/05/27,0.22693874,0.0,0.0,136779156,0.0,0.0,0.0,0
2015,Public Company,000646,DCSC,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/18,0.70000000,0.0,0.0,63000000,0.0,0.0,0.0,0
2015,Public Company,000700,Mega Securities,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/04/27,0.22070000,0.0,0.0,255998366,0.0,0.0,0.0,0
2015,Public Company,000815,TSSCO?@?@,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/05/27,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Public Company,000856,SKIS?@?@,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/05/23,1.42253054,0.0,0.0,209111990,0.0,0.0,0.0,0
2015,Public Company,000888,Cathaysec,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/04/27,0.0,0.0,0.0,0,0.76767700,0.0,0.0,38000000
2015,Public Company,000960,FBS,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/04/25,0.49110000,0.0,0.0,817422998,0.0,0.0,0.0,0
2015,Public Company,000980,YUANTA,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/05/26,1.22350000,0.0,0.0,6750493874,0.0,0.0,0.0,0
2015,Listed Company,1101,TCC,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/22,1.33000000,0.0,0.0,4910593906,0.0,0.0,0.0,0
2015,Listed Company,1102,ACC,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/21,1.10000000,0.0,0.0,3697591918,0.0,0.0,0.0,0
2015,Listed Company,1103,CHC,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/27,0.10000000,0.0,0.0,77478054,0.0,0.0,0.0,0
2015,Listed Company,1104,UCC,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/22,1.00000000,0.0,0.0,628289140,0.10000000,0.0,0.0,6282891
2015,Listed Company,1108,LUCKY CEMENT,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/15,0.85000000,0.0,0.0,344027342,0.0,0.0,0.0,0
2015,Listed Company,1109,HsingTa,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/22,0.20000000,0.0,0.0,75780137,0.0,0.0,0.0,0
2015,Listed Company,1110,SE CEMENT,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/17,0.20000000,0.0,0.0,114400159,0.0,0.0,0.0,0
2015,Public Company,1111,HHCEC?@,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2015/06/30,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1201,WEI CHUAN,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/28,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1203,VE WONG,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/28,1.00000000,0.0,0.0,240000000,0.0,0.0,0.0,0
2015,Listed Company,1210,GREATWALL,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/24,0.70000000,0.0,0.0,515476066,0.0,0.0,0.0,0
2015,Listed Company,1213,OCEANIC Bev.,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/05/26,0.0,0.0,0.0,0,1.00000000,0.0,0.0,5147511
2015,Listed Company,1215,CPE,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/17,2.00000000,0.0,0.0,535981996,0.0,0.0,0.0,0
2015,Listed Company,1216,UNI-PRESIDENT,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/22,2.00000000,0.0,0.0,11364030842,0.0,0.0,0.0,0
2015,Listed Company,1217,AGV,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/28,0.0,0.0,0.0,0,0.0,0.15000000,0.0,7308079
2015,Listed Company,1218,TAISUN,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/29,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1219,FWUSOW,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/23,0.25000000,0.0,0.0,79706408,0.0,0.0,0.0,0
2015,Listed Company,1220,TAIROUN,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/14,0.50000000,0.0,0.0,88538972,0.0,0.0,0.0,0
2015,Listed Company,1225,FOPCO,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/28,1.00000000,0.0,0.0,218703051,0.0,0.0,0.0,0
2015,Listed Company,1227,SFC,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/15,1.60000000,0.0,0.0,1268315442,1.10000000,0.0,0.0,87196686
2015,Listed Company,1229,LHIHC,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/22,1.20000000,0.0,0.0,1066463790,0.25000000,0.0,0.0,22217995
2015,Listed Company,1231,Lian Hwa Foods,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/28,1.32000000,0.0,0.0,195509321,0.33000000,0.0,0.0,4887733
2015,Listed Company,1232,TTET,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/14,5.00000000,0.0,0.0,799874575,0.0,0.0,0.0,0
2015,Listed Company,1233,Ten Ren,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/15,2.00000000,0.0,0.0,181183896,0.0,0.0,0.0,0
2015,Listed Company,1234,HEY SONG,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/20,1.50000000,0.0,0.0,602806641,0.0,0.0,0.0,0
2015,Listed Company,1235,ST,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/13,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1236,Hunya,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/22,0.70000000,0.0,0.0,75839757,0.0,0.0,0.0,0
2015,Public Company,1237,TSC,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/21,2.70000000,0.0,0.0,15219224634,0.0,0.0,0.0,0
2015,Public Company,1242,HTY,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/28,1.00000000,0.0,0.0,88000000,0.0,0.0,0.0,0
2015,Public Company,1246,?@CUOC?@,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/22,0.27500000,0.0,0.0,16500000,0.0,0.0,0.0,0
2015,Listed Company,1256,Sunjuice,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/07,4.00000000,0.0,0.0,108662400,0.0,0.0,0.0,0
2015,TPEx Listed Company,1259,AN-SHIN,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/07,2.80000000,0.0,0.0,90690600,0.0,0.0,0.0,0
2015,Emerging Stocks,1260,FLAVOR,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/29,0.60000000,0.0,0.0,48502699,0.0,0.0,0.0,0
2015,TPEx Listed Company,1264,TEHMAG,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/05/31,11.00000000,0.0,0.0,336959700,0.0,0.0,0.0,0
2015,TPEx Listed Company,1268,Hi-Lai Foods,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/03,2.75000000,1.75000000,0.0,144000000,0.0,0.50000000,0.0,1600000
2015,Listed Company,1301,FPC,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/17,3.60000000,0.0,0.0,22916666812,0.0,0.0,0.0,0
2015,Listed Company,1303,NPC,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/23,3.30000000,0.0,0.0,26171711244,0.0,0.0,0.0,0
2015,Listed Company,1304,USI,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/08,0.50000000,0.0,0.0,571301183,0.0,0.0,0.0,0
2015,Listed Company,1305,CGPC,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/13,1.00000000,0.0,0.0,468303408,0.20000000,0.0,0.0,9366068
2015,Listed Company,1307,SAN FANG,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/13,1.70000000,0.0,0.0,656593023,0.30000000,0.0,0.0,11586936
2015,Listed Company,1308,APC,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/08,0.60000000,0.0,0.0,295896468,0.20000000,0.0,0.0,9863215
2015,Listed Company,1309,TTC,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/13,0.0,0.0,0.0,0,0.0,0.0,0.0,0
