Market,Code,Company Name,Place of Incorporation of Foreign Companies,Industry,Symbol,Date of Listing,Chairman,General Manager,Spokesman,Title of Spokesman,Fiscal Year_end,Accounting Firm,CPA (Chartered Public Accountant)1,CPA (Chartered Public Accountant)2,Address,Telephone,Fax,Email Address,Web Address,Investor Relations Contact Person,Title of IR Contact Person,Telephone of IR Contact Person,Email Address of IR Contact Person
Listed Company,1101,"TCC Group Holdings CO., LTD.",－,Cement,TCC,1962/02/09,Chang An-Ping,Roman Cheng,Shelly Yeh,Chief Sustainability Officer,DEC 31,Deloitte & Touche,Ya-Ling Wong,Hui-Min Huang,"No.113, Sec.2, Zhongshan N. Rd., Taipei City 104,Taiwan (R.O.C.)",(02)2531-7099,(02)2531-6529,finance@taiwancement.com,https://www.tccgroupholdings.com/tw/,Office of Sustainability and Responsibility,Office of Sustainability and Responsibility,02-25317099,ir@taiwancement.com
Listed Company,1102,Asia Cement Corporation,－,Cement,ACC,1962/06/08,Douglas Tong Hsu,K.Y.Lee,C.Y. Wang,Assistant Vice President of Secretarial Dept.,DEC 31,Deloitte & Touche,"Tai, Hsin Wei","Chi, Rui quan","30-31F., No.207, Sec. 2, Dunhua S. Rd., Da' an Dist., Taipei City 106, Taiwan TAIPEI,TAIWAN,R.O.C",02-2733-8000,02-2736-6263,service@acc.com.tw,www.acc.com.tw,Linus Chen,IRO,02 27338000 ext.8336,ir@acc.com.tw
Listed Company,1103,CHIA HSIN CEMENT CORPORATION,－,Cement,CHC,1969/11/14,"Kang-Lung, CHANG","Li-Shin, WANG",Simon Chin,Senior Manager of the Board Secretariat,DEC 31,Deloitte Touche Tohmatsu,Connie Chen,Tanti Liang,"No.96, Sec. 2, Zhongshan N. Rd., Zhongshan Dist. Taipei City 10449, Taiwan (R.O.C.)",(02)2551-5211,(02)2511-4002,ir@chcgroup.com.tw,www.chcgroup.com.tw,Simon Chin,Senior Manager of the Board Secretariat,(02)2551-5211#277,ir@chcgroup.com.tw
Listed Company,1104,UNIVERSAL CEMENT CORPORATION,－,Cement,UCC,1971/02/01,BO-CHI INVESTMENT INC.,"HOU, CHIH-CHENG","YANG,TSUNG-JEN",Vice President,DEC 31,Deloitte Touche Tohmatsu Limited,Sophie Lee,Lou Liao,"10th F., 125 Nanking E.Rd Sec. 2, Taipei Taiwan",02-25077801,02-25075870,ucc@ucctw.com,www.ucctw.com,"YANG,TSUNG-JEN",Vice President,02-2507-7801,p1590@ucctw.com
Listed Company,1108,LUCKY CEMENT CO.,－,Cement,LUCKY CEMENT,1990/06/06,"CHEN, YUN-JU","CHEN, MING-SHIEN","WEN, HSIU-CHU",Financial Manager,DEC 31,Deloitte & Touche,Chen Chao Mei,Chen Chiang Hsun,"15TH FL.,NO.237,SUNG KIANG RD., TAIPEI,TAIWAN,R.O.C.",25092188,25048672,wendy@luckygrp.com.tw,www.luckygrp.com.tw,"WEN, HSIU-CHU",Financial Manager,25092188,wendy@luckygrp.com.tw
Listed Company,1109,"Hsing Ta Cement Co.,Ltd",－,Cement,HsingTa,1991/12/05,Yang Jee-Shing,Yang Ta Kuan,Chang Ching-Shou,Associate Vice President,DEC 31,PRICEWATERHOUSECOOPERS,LEE SHOW-LIN,CHI PING CHUN,"No. 37, 7F, Baoqing Rd., Taipei City 100, Taiwan (R.O.C.)",(02)23816731,23314086,service@hsingta.com.tw,www.hsingta.com.tw,Tasi Su-Chiu,Accounting Manager,02-23816731#160,emily@hsingta.com.tw
Listed Company,1110,"SOUTHEAST CEMENT CO.,LTD.",－,Cement,SE CEMENT,1994/10/22,M.T.Chen,Y.H.WU,S. H. Huang,Vice General Manager of Finance Dept.,DEC 31,CHIEN HSING UNION C0.,HUANG CHIH-FU,HUANG LING-WEN,"NO.21 Wu Fu 3 Road Kaohsiung, Taiwan, R.O.C.",07-2711121,07-9505895,southeast@secement.com,www.southeastcement.com.tw,S. H. Huang,Vice General Manager of Finance Dept.,07-2711121,vance.huang@secement.com
Listed Company,1201,WEI CHUAN FOODS CORP.,－,Food,WEI CHUAN,1962/02/09,"Hsu,Wen-Fang","Teng,Yi-Yung","Lee,Wen-Hsueh",CFO,DEC 31,PRICEWATERHOUSE COOPERS,Ryan Huang,"Yeh, Tsui-Miao","10F., No.125, Sung Chiang Rd. Taipei, Taiwan, R.O.C.",(02)25065020,(02)25063182,service@weichuan.com.tw,https://www.weichuan.com.tw,"Lee,Wen-Hsueh",CFO,(02)25065020,li_wenxue@weichuan.com.cn
Listed Company,1203,VE WONG CORPORATION,－,Food,VE WONG,1964/08/24,Chen Ching-Fu,Chen Kung-Pin,Ching-Hsiung Wei,Assistant General Manager,DEC 31,Grand Cathay International cpa's,Beryl Wen,Huei Yu Chang,"5TH FL., 79 CHUNG SHAN N. RD., SEC.2 TAIPEI TAIWAN",(02)25717271,(02)25811006,wei@vewong.com.tw,https://www.vewong.com/,Ching-Hsiung Wei,Assistant General Manager,(02)25717271-610,wei@vewong.com.tw
Listed Company,1210,"GREAT WALL ENTERPRISE CO., LTD.",－,Food,GREATWALL,1978/05/20,Han Chia-Yau,Han Fang-Hao,Hsia Hsien-Yu,vice president,DEC 31,KPMG Certified Public Accountants,Lee Feng-Hui,Tsai Pei Ju,3 NIAOSUN 2TH STREET YONGKONG TAINAN CONTY TAIWAN,06-2531111,06-2534596,ir@ms.greatwall.com.tw,http://www.dachan.com,Hsia Hsien-Yu,vice president,02-26577111,ir@ms.greatwall.com.tw
